Kudos Date,Kudos Type,Parent ID
"Dec 25, 2015, 11:33:40 PM",Activity,456230998
"Dec 25, 2015, 11:34:31 PM",Activity,456172422
"Dec 25, 2015, 11:34:49 PM",Activity,456172753
"Dec 25, 2015, 11:34:53 PM",Activity,456165852
"Dec 25, 2015, 11:34:59 PM",Activity,456102599
"Dec 25, 2015, 11:38:12 PM",Activity,456097668
"Dec 25, 2015, 11:38:13 PM",Activity,456098895
"Dec 25, 2015, 11:39:11 PM",Activity,456087313
"Dec 25, 2015, 11:39:37 PM",Activity,455802047
"Dec 25, 2015, 11:40:06 PM",Activity,455767262
"Dec 25, 2015, 11:40:15 PM",Activity,455726364
"Dec 25, 2015, 11:40:59 PM",Activity,455599752
"Dec 26, 2015, 2:06:40 PM",Activity,456139890
"Dec 27, 2015, 9:05:48 PM",Activity,457579342
"Dec 28, 2015, 2:16:16 AM",Activity,457570651
"Dec 28, 2015, 2:20:13 AM",Activity,457509594
"Dec 28, 2015, 2:21:31 AM",Activity,457592927
"Dec 28, 2015, 2:25:08 AM",Activity,457484034
"Dec 28, 2015, 2:25:29 AM",Activity,457461188
"Dec 28, 2015, 2:25:30 AM",Activity,457457909
"Jan 2, 2016, 11:03:04 PM",Activity,461647828
"Jan 2, 2016, 11:04:00 PM",Activity,461527111
"Jan 2, 2016, 11:05:48 PM",Activity,461505283
"Jan 2, 2016, 11:06:04 PM",Activity,461503956
"Jan 2, 2016, 11:09:04 PM",Activity,459559739
"Jan 13, 2016, 10:36:54 AM",Activity,469199298
"Jan 13, 2016, 10:37:02 AM",Activity,469172252
"Jan 13, 2016, 10:37:07 AM",Activity,469172314
"Jan 13, 2016, 10:38:12 AM",Activity,469093481
"Jan 13, 2016, 10:38:41 AM",Activity,469043194
"Jan 13, 2016, 10:39:13 AM",Activity,468906128
"Jan 13, 2016, 10:39:22 AM",Activity,469112613
"Jan 13, 2016, 10:39:32 AM",Activity,468889322
"Jan 13, 2016, 10:39:37 AM",Activity,468887163
